Terms,Anti,,
accident,,,
Ambulance,,,
Ambush,,,
armed,,,
arrest,,,
Assault,,,
Attack,,,
Beaten,,,
collision,,,
Coroner,,,
crash,,,
Critical Condition,,,
Dead,,,
Deadly,,,
Death,,,
Domestic Violence,,,
DUI,,,
Emergency,,,Just a lot of misses
Fallen,,,
fatal,,,
Fell,,fellow,
hit-and-run,,,
homicide,,,
Killed,,,
Kills,,,
Life Flight,,,
Manslaughter,,,
Resuscitate,,,
shoot,,basketball,
shot,vaccine,basketball,
Stab,,,
Strangle,,,
Suicide,,,
suspects,,,
Transport,,,
Trauma,,,
victim,,,
