Link, Name, Type, Status
https://www.kcra.com/topstories-rss, KCRA, RSS, Good
https://sacramento.cbslocal.com/feed/, CBS_Sac, RSS, Good
https://abc7news.com/feed/, ABC-SFO,RSS, Good
https://www.ksbw.com/topstories-rss, KSBW, RSS, Good
https://www.sacbee.com/?widgetName=rssfeed&widgetContentId=6199&getXmlFeed=true, SacBee, DNU, Good
https://fox40.com/feed/, Fox40, RSS, Good
https://www.kron4.com/feed/, KRON, RSS, Good
mtshastanews, Mt. Shasta News, Tweet, Good
northcoastnews1, KAEF-North Coast, Tweet, Good
KRCR7, KRCR TV7, Tweet, Good
Mailtribune, Mail Tribune, Tweet, Good
